69|9|106|30|+2|[7,13],[17,24]|[7,8],[13,24]|[1,2]
71|9|106|15||[16,20]|[16,20]|
72|9|107|30||||
75|9|107|30||||
80|9|106|15||[16,19]|[16,19]|
120|9|105|30||||
193|9|106|30|+2||[7,10],[13,15]|
204|9|103|30||[7,24]|[1,24]|[1,7]
206|9|103|30||||
207|9|107|30||||
216|9|103|30|-5|[16,21]|[16,21]|
254|9|103|30|+9|[7,10],[13,16]|[2,5],[7,10],[13,16]|
255|9|103|30|+4|[7,19]|[7,18]|
296|9|103|30|+9|[11,15]|[12,16]|
339|9|103|30||||
415|9|105|30|-4|[12,16]|[13,22]|
291|15|150|60||||
292|15|150|60||||
294|15|150|60||||
295|15|150|60|+2|[14,18]|[14,18]|
18|6|53|30||||
21|6|55|30|-5|[15,24]|[14,19]|
133|6|55|30||||
288|6|50|30||||
289|6|50|30||||
290|6|50|30||||
16|5|43|30|-4|[14,16],[18,22]|[14,16],[18,22]|
135|5|40|15||||
285|5|43|30||||
375|5|38|30|+2||[6,19]|[6,1]
37|4|66|30||||
42|4|66|15||||
43|4|66|15||||
48|4|66|30|-4|[17,24]|[18,23]|
63|4|60|30||||
65|4|66|30||||
86|4|66|30|-5|[13,15],[17,18],[20,24]|[1,3],[13,18],[21,24]|[1,2]
89|4|66|30||||
137|4|60|30||||
144|4|62|15||||
232|4|62|30||[10,21]|[10,21]|
240|4|65|15||||
249|4|60|5||||
263|4|123|30|+1|[8,20]|[8,20]|
264|4|123|30|-4|[9,19]|[7,19]|
265|4|123|30|+2|[9,20]|[10,20]|
314|4|66|30||||
326|4|123|30|+2|[12,17]|[8,10],[11,16]|
335|4|67|30||||
337|4|67|30||||
345|4|67|30||||
356|4|67|30||||
358|4|67|30||||
378|4|64|30|-4|[12,24]|[12,19]|
380|4|64|30|+2|[8,11],[15,20]|[8,12],[15,20]|
394|4|67|30|-4|[20,23]||
395|4|67|30||||
396|4|65|30||||
431|4|67|30||||
432|4|67|30||||
368|16|125|120||||
369|16|155|30||||
370|16|155|30||||
371|16|155|30|-4|[13,24]|[13,24]|
372|16|155|30||||
382|16|125|30||||
383|16|155|30||||
384|16|155|30||[8,23]|[8,23]|
385|16|125|120||||
386|16|155|30||||
388|16|125|120|-7|[15,24]|[1,6],[15,24]|[1,5]
391|16|156|30||||
393|16|125|120|+2|[13,18]|[13,18]|
421|16|155|30||||
422|16|155|30||||
423|16|155|30||||
424|16|155|30||||
425|16|155|30||||
426|16|155|30||||
427|16|125|120||||
428|16|155|30||||
430|16|155|30||||
434|16|155|30||||
